context,action,reward,"Q(c,23)","Q(c,14)","Q(c,8)","Q(c,3)"
punishment,3,-3,-2.2999871419863873,-2.77335729520729,-1.1511962988363,-0.6576846300250467
punishment,14,14,-2.2999871419863873,-1.0960215656865608,-1.1511962988363,-0.6576846300250467
reward,14,14,3.7697292510869147,2.6600080979681815,4.592488919658672e-05,0.3000300337750025
neutral,8,-8,0.1072453315601476,2.4626521736291345,-1.5199368450289779,-0.5699516551372064
reward,8,8,3.7697292510869147,2.6600080979681815,0.8000413324002771,0.3000300337750025
punishment,3,-3,-2.2999871419863873,-1.0960215656865608,-1.1511962988363,-0.8919161670225421
neutral,14,-14,0.1072453315601476,0.8163869562662209,-1.5199368450289779,-0.5699516551372064
neutral,3,-3,0.1072453315601476,0.8163869562662209,-1.5199368450289779,-0.8129564896234858
punishment,14,-14,-2.2999871419863873,-2.386419409117905,-1.1511962988363,-0.8919161670225421
reward,23,23,5.692756325978223,2.6600080979681815,0.8000413324002771,0.3000300337750025
punishment,23,-23,-4.3699884277877485,-2.386419409117905,-1.1511962988363,-0.8919161670225421
neutral,14,14,0.1072453315601476,2.134748260639599,-1.5199368450289779,-0.8129564896234858
reward,3,3,5.692756325978223,2.6600080979681815,0.8000413324002771,0.5700270303975022
reward,23,23,7.423480693380401,2.6600080979681815,0.8000413324002771,0.5700270303975022
neutral,14,-14,0.1072453315601476,0.5212734345756391,-1.5199368450289779,-0.8129564896234858
reward,23,23,8.98113262404236,2.6600080979681815,0.8000413324002771,0.5700270303975022
neutral,23,23,2.396520798404133,0.5212734345756391,-1.5199368450289779,-0.8129564896234858
reward,8,8,8.98113262404236,2.6600080979681815,1.5200371991602495,0.5700270303975022
punishment,3,-3,-4.3699884277877485,-2.386419409117905,-1.1511962988363,-1.1027245503202878
punishment,3,-3,-4.3699884277877485,-2.386419409117905,-1.1511962988363,-1.292452095288259
reward,23,23,10.383019361638123,2.6600080979681815,1.5200371991602495,0.5700270303975022
neutral,23,-23,-0.14313128143628084,0.5212734345756391,-1.5199368450289779,-0.8129564896234858
neutral,3,3,-0.14313128143628084,0.5212734345756391,-1.5199368450289779,-0.4316608406611372
punishment,3,-3,-4.3699884277877485,-2.386419409117905,-1.1511962988363,-1.4632068857594331
punishment,14,-14,-4.3699884277877485,-3.5477774682061147,-1.1511962988363,-1.4632068857594331
punishment,3,3,-4.3699884277877485,-3.5477774682061147,-1.1511962988363,-1.0168861971834897
neutral,23,-23,-2.4288181532926525,0.5212734345756391,-1.5199368450289779,-0.4316608406611372
reward,23,23,11.644717425474312,2.6600080979681815,1.5200371991602495,0.5700270303975022
reward,14,14,11.644717425474312,3.794007288171364,1.5200371991602495,0.5700270303975022
neutral,14,14,-2.4288181532926525,1.8691460911180753,-1.5199368450289779,-0.4316608406611372
neutral,3,-3,-2.4288181532926525,1.8691460911180753,-1.5199368450289779,-0.6884947565950235
neutral,14,-14,-2.4288181532926525,0.2822314820062677,-1.5199368450289779,-0.6884947565950235
punishment,3,-3,-4.3699884277877485,-3.5477774682061147,-1.1511962988363,-1.2151975774651407
neutral,8,8,-2.4288181532926525,0.2822314820062677,-0.5679431605260801,-0.6884947565950235
reward,23,23,12.78024568292688,3.794007288171364,1.5200371991602495,0.5700270303975022
reward,23,-23,9.202221114634192,3.794007288171364,1.5200371991602495,0.5700270303975022
reward,23,23,10.581999003170772,3.794007288171364,1.5200371991602495,0.5700270303975022
reward,23,-23,7.223799102853695,3.794007288171364,1.5200371991602495,0.5700270303975022
neutral,23,23,0.11406366203661289,0.2822314820062677,-0.5679431605260801,-0.6884947565950235
punishment,3,-3,-4.3699884277877485,-3.5477774682061147,-1.1511962988363,-1.3936778197186266
punishment,8,-8,-4.3699884277877485,-3.5477774682061147,-1.83607666895267,-1.3936778197186266
reward,23,-23,4.201419192568325,3.794007288171364,1.5200371991602495,0.5700270303975022
punishment,3,-3,-4.3699884277877485,-3.5477774682061147,-1.83607666895267,-1.554310037746764
reward,23,23,6.081277273311493,3.794007288171364,1.5200371991602495,0.5700270303975022
punishment,8,8,-4.3699884277877485,-3.5477774682061147,-0.852469002057403,-1.554310037746764
neutral,14,-14,0.11406366203661289,-1.1459916661943592,-0.5679431605260801,-0.6884947565950235
